Date,Open,High,Low,Close,Volume
2020-08-25,3294.99,3357.4,3267.0,3346.49,3992842
2020-08-24,3310.15,3380.315,3257.5608,3307.46,4666258
2020-08-21,3295.0,3314.3962,3275.39,3284.72,3575862
2020-08-20,3252.0,3312.62,3238.0,3297.37,3332478
2020-08-19,3303.01,3315.9,3256.0001,3260.48,4185137
2020-08-18,3212.0,3320.0,3205.8187,3312.49,5345974
2020-08-17,3173.12,3194.97,3154.1775,3182.41,2691237
2020-08-14,3178.18,3178.2357,3120.0,3148.02,2751723
2020-08-13,3182.99,3217.5211,3155.0,3161.02,3149043
2020-08-12,3108.0,3174.385,3101.42,3162.24,3527229
2020-08-11,3113.2,3159.22,3073.0,3080.67,3718057
2020-08-10,3170.31,3172.51,3101.52,3148.16,3167274
2020-08-07,3224.01,3240.81,3140.6726,3167.46,3936127
2020-08-06,3194.36,3247.47,3165.43,3225.0,3940602
2020-08-05,3143.77,3213.5859,3127.3,3205.03,3930025
2020-08-04,3101.21,3167.24,3101.21,3138.83,4694294
2020-08-03,3180.51,3184.0,3104.0,3111.89,5074663
2020-07-31,3244.0,3246.82,3151.0,3164.68,8083369
2020-07-30,3014.0,3092.0,3005.0,3051.88,6128265
2020-07-29,3030.99,3039.1592,2996.77,3033.53,2974060
2020-07-28,3054.27,3077.0926,2995.76,3000.33,3126651
2020-07-27,3062.0,3098.0,3015.77,3055.21,4170492
2020-07-24,2930.0,3031.58,2888.0,3008.91,5632413
2020-07-23,3098.2713,3098.2713,2970.0,2986.55,5656906
2020-07-22,3125.0,3149.9999,3065.26,3099.91,4104225
2020-07-21,3232.49,3240.5758,3105.72,3138.29,6134965
2020-07-20,3000.2,3201.3599,2994.0172,3196.84,7598176
2020-07-17,3009.0,3024.0,2948.45,2961.97,4761319
2020-07-16,2971.06,3032.0,2918.23,2999.9,6394246
2020-07-15,3080.23,3098.35,2973.1801,3008.87,5788874
2020-07-14,3089.0,3127.38,2950.0,3084.0,7231933
2020-07-13,3251.06,3344.29,3068.3901,3104.0,7720420
2020-07-10,3191.76,3215.0,3135.7,3200.0,5485982
2020-07-09,3115.99,3193.8799,3074.0016,3182.63,6388659
2020-07-08,3022.61,3083.97,3012.4301,3081.11,5037635
2020-07-07,3058.55,3069.55,2990.0,3000.12,5257514
2020-07-06,2934.97,3059.88,2930.0,3057.04,6880642
2020-07-02,2912.01,2955.56,2871.1021,2890.3,6593387
2020-07-01,2757.99,2895.0,2754.0,2878.7,6363439
2020-06-30,2685.065,2769.63,2675.03,2758.82,3769686
2020-06-29,2690.01,2696.8,2630.08,2680.38,4223422
